CODI_INTERN,TIPUS_OCUPACIO,DATA_INICI,DATA_FI,DURADA,LAT,LNG,WKT
"5120700909439369107130","TERRASSES DE BAR","19/02/2015","31/12/2019","365","41,5480556862807","2,44122732823904","POINT (2.44122732823904 41.5480556862807)"
"5120700910469496107130","TERRASSES DE BAR","03/05/2013","16/09/2040","365","41,5513322819558","2,44313645628667","POINT (2.44313645628667 41.5513322819558)"
"5120700910480621607130","TERRASSES DE BAR","02/05/2013","26/08/2040","365","41,5377796278535","2,42575827373998","POINT (2.42575827373998 41.5377796278535)"
"5120700910487711607130","TERRASSES DE BAR","10/05/2013","24/04/2017","365","41,5515816980639","2,44206292581338","POINT (2.44206292581338 41.5515816980639)"
"5120700909732353607130","TERRASSES DE BAR","12/07/2012","31/12/2017","365","41,5372196828138","2,444056636415","POINT (2.444056636415 41.5372196828138)"
"5120700909873655107130","TERRASSES DE BAR","22/10/2012","07/03/2040","365","41,5382527634487","2,42698004904869","POINT (2.42698004904869 41.5382527634487)"
"5120700909438112107130","TERRASSES DE BAR","05/05/2011","30/06/2017","365","41,5402234318179","2,43543379007923","POINT (2.43543379007923 41.5402234318179)"
"5120700910472230607130","TERRASSES DE BAR","07/05/2013","16/09/2040","365","41,5505513625174","2,43899762446685","POINT (2.43899762446685 41.5505513625174)"
"5120700910472241107130","TERRASSES DE BAR","07/05/2013","16/09/2040","365","41,5338280460709","2,43245283842189","POINT (2.43245283842189 41.5338280460709)"
"5120700910561254107130","TERRASSES DE BAR","07/06/2013","31/12/2017","365","41,5340192430054","2,44045802393525","POINT (2.44045802393525 41.5340192430054)"
"5120700909438717107130","TERRASSES DE BAR","22/06/2011","05/11/2038","365","41,545023490402","2,43725489518349","POINT (2.43725489518349 41.545023490402)"
"5120700910481247107130","TERRASSES DE BAR","07/05/2013","26/08/2040","365","41,5362265333983","2,42270685101995","POINT (2.42270685101995 41.5362265333983)"
"5120700909439762107130","TERRASSES DE BAR","19/11/2012","05/02/2017","365","41,5374357115529","2,44433432892202","POINT (2.44433432892202 41.5374357115529)"
"5120700910568234107130","TERRASSES DE BAR","02/08/2013","31/12/2017","365","41,5396605432562","2,43385478397667","POINT (2.43385478397667 41.5396605432562)"
"5120700910487666607130","TERRASSES DE BAR","25/04/2013","08/09/2017","365","41,5396759671684","2,45039056214391","POINT (2.45039056214391 41.5396759671684)"
"5120700909154941607130","RESERVES D'ESTACIONAMENT PUNTUAL","01/03/2012","16/07/2039","365","41,5381004886611","2,44495593340039","POINT (2.44495593340039 41.5381004886611)"
"5120700909425703607130","TERRASSES DE BAR","16/01/2013","31/12/2018","365","41,5350678098705","2,44229519458333","POINT (2.44229519458333 41.5350678098705)"
"5120700910469642607130","TERRASSES DE BAR","03/05/2013","16/09/2040","365","41,5514024101294","2,43967356612579","POINT (2.43967356612579 41.5514024101294)"
"5120700910567987607130","TERRASSES DE BAR","02/08/2013","31/12/2017","365","41,5410921586976","2,44411989541821","POINT (2.44411989541821 41.5410921586976)"
"5120700910539643607130","RESERVES D' ESTACIONAMENT","01/08/2013","15/12/2040","365","41,5397985619822","2,4446730140128","POINT (2.4446730140128 41.5397985619822)"
"5120700910473016607130","TERRASSES DE BAR","08/05/2013","21/09/2040","365","41,5457233601662","2,4366809949445","POINT (2.4366809949445 41.5457233601662)"
"5120700910472188607130","TERRASSES DE BAR","07/05/2013","16/09/2040","365","41,5505531269063","2,43899006396158","POINT (2.43899006396158 41.5505531269063)"
"5120700910578142607130","TERRASSES DE BAR","22/07/2013","05/12/2017","365","41,5354428400355","2,4241016013707","POINT (2.4241016013707 41.5354428400355)"
"5120700909438672107130","TERRASSES DE BAR","06/09/2011","31/12/2017","365","41,5385550332458","2,4449787184131","POINT (2.4449787184131 41.5385550332458)"
"5120700909566876607130","ACTES CULTURALS","27/06/2012","30/06/2018","365","41,5424782919788","2,44711307995559","POINT (2.44711307995559 41.5424782919788)"
"5120700909775436607130","TERRASSES DE BAR","24/07/2012","08/12/2039","365","41,5541077243883","2,43960801044285","POINT (2.43960801044285 41.5541077243883)"
"5120700910493738107130","TERRASSES DE BAR","15/05/2013","31/12/2017","365","41,538209047823","2,44147571079126","POINT (2.44147571079126 41.538209047823)"
"5120700911198902607130","TERRASSES DE BAR","01/05/2014","31/12/2018","365","41,5408569722605","2,44410382983259","POINT (2.44410382983259 41.5408569722605)"
"5120700911219612107130","TERRASSES DE BAR","11/06/2014","31/12/2018","365","41,5535867854375","2,43977200678421","POINT (2.43977200678421 41.5535867854375)"
"5120700911077955607130","TERRASSES DE BAR","15/04/2014","31/12/2018","365","41,5428547607875","2,43875595355312","POINT (2.43875595355312 41.5428547607875)"
"5120700911227679607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5365994215454","2,42737967256104","POINT (2.42737967256104 41.5365994215454)"
"5120700911207695607130","TERRASSES DE BAR","30/05/2014","31/12/2018","365","41,5505478177013","2,43900139341492","POINT (2.43900139341492 41.5505478177013)"
"5120700911183137107130","TERRASSES DE BAR","09/05/2014","31/03/2017","365","41,5396273342353","2,44792492991972","POINT (2.44792492991972 41.5396273342353)"
"5120700911210861107130","TERRASSES DE BAR","03/06/2014","31/12/2040","365","41,5390148254032","2,42269489168051","POINT (2.42269489168051 41.5390148254032)"
"5120700911223720607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5403845243124","2,43596697561628","POINT (2.43596697561628 41.5403845243124)"
"5120700911105011607130","TERRASSES DE BAR","16/04/2014","31/12/2018","365","41,5384889493592","2,4229592335702","POINT (2.4229592335702 41.5384889493592)"
"5120700911193495107130","TERRASSES DE BAR","19/05/2014","31/12/2018","365","41,5516385621817","2,4419679370232","POINT (2.4419679370232 41.5516385621817)"
"5120700911198521107130","TERRASSES DE BAR","23/05/2014","31/12/2018","365","41,5515342177561","2,44217126901699","POINT (2.44217126901699 41.5515342177561)"
"5120700911207960107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5407315190689","2,42284579219857","POINT (2.42284579219857 41.5407315190689)"
"5120700911207704107130","TERRASSES DE BAR","30/05/2014","31/12/2018","365","41,5362819697009","2,42281917592754","POINT (2.42281917592754 41.5362819697009)"
"5120700911246370107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5426022015812","2,44830463229563","POINT (2.44830463229563 41.5426022015812)"
"5120700911039556607130","TERRASSES DE BAR","11/04/2014","31/12/2018","365","41,5404184870048","2,43600756419126","POINT (2.43600756419126 41.5404184870048)"
"5120700911039566107130","TERRASSES DE BAR","10/04/2014","31/12/2018","365","41,5437292923019","2,45497578602515","POINT (2.45497578602515 41.5437292923019)"
"5120700910897201607130","TERRASSES DE BAR","21/03/2014","31/12/2018","365","41,544406312638","2,43080231856705","POINT (2.43080231856705 41.544406312638)"
"5120700911177731607130","TERRASSES DE BAR","06/05/2014","28/02/2017","365","41,5355023563505","2,44768167702653","POINT (2.44768167702653 41.5355023563505)"
"5120700911039626107130","TERRASSES DE BAR","10/04/2014","31/12/2018","365","41,5369233609418","2,43122685307013","POINT (2.43122685307013 41.5369233609418)"
"5120700911226864107130","TERRASSES DE BAR","17/06/2014","31/12/2018","365","41,5441548352588","2,42318943892355","POINT (2.42318943892355 41.5441548352588)"
"5120700911058240107130","TERRASSES DE BAR","14/04/2014","31/12/2018","365","41,5373884820788","2,44048859325161","POINT (2.44048859325161 41.5373884820788)"
"5120700911199037607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5431875056732","2,43516093894314","POINT (2.43516093894314 41.5431875056732)"
"5120700910967069107130","TERRASSES DE BAR","26/03/2014","22/06/2017","365","41,5503918430991","2,43873380567521","POINT (2.43873380567521 41.5503918430991)"
"5120700911180081607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5476921605275","2,44594694584295","POINT (2.44594694584295 41.5476921605275)"
"5120700910789122107130","TERRASSES DE BAR","12/02/2014","31/12/2018","365","41,5389435993569","2,44698888228797","POINT (2.44698888228797 41.5389435993569)"
"5120700911039531107130","TERRASSES DE BAR","11/04/2014","30/09/2017","365","41,5490881385787","2,42756984014301","POINT (2.42756984014301 41.5490881385787)"
"5120700911216637607130","TERRASSES DE BAR","06/06/2014","31/12/2018","365","41,5435103009834","2,42373629233961","POINT (2.42373629233961 41.5435103009834)"
"5120700911220573607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5437878554058","2,44971530598295","POINT (2.44971530598295 41.5437878554058)"
"5120700911269922607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5368157730671","2,43414878433744","POINT (2.43414878433744 41.5368157730671)"
"5120700911378450107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5459703424254","2,44946577028474","POINT (2.44946577028474 41.5459703424254)"
"5120700911330000107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,544976207382","2,43570011620445","POINT (2.43570011620445 41.544976207382)"
"5120700911365132107130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5496063690101","2,44097797762498","POINT (2.44097797762498 41.5496063690101)"
"5120700911365158107130","TERRASSES DE BAR","01/01/2014","13/03/2017","365","41,5475695230422","2,44825091621368","POINT (2.44825091621368 41.5475695230422)"
"5120700910883118107130","TERRASSES DE BAR","11/03/2014","31/12/2018","365","41,5345585703461","2,44277740340917","POINT (2.44277740340917 41.5345585703461)"
"5120700911271704607130","TERRASSES DE BAR","31/12/2016","31/12/2040","365","41,5538202941911","2,44578869575545","POINT (2.44578869575545 41.5538202941911)"
"5120700911221980607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5492129369155","2,44878129857416","POINT (2.44878129857416 41.5492129369155)"
"5120700911208807607130","TERRASSES DE BAR","01/01/2014","31/12/2018","365","41,5328901084515","2,43547976014074","POINT (2.43547976014074 41.5328901084515)"
"5120700911127924107130","TERRASSES DE BAR","16/04/2014","31/12/2018","365","41,5417301002832","2,43736024613254","POINT (2.43736024613254 41.5417301002832)"
"5120700911196828107130","TERRASSES DE BAR","22/05/2014","31/12/2018","365","41,5403666395154","2,43488714235083","POINT (2.43488714235083 41.5403666395154)"
"5120700911269839107130","INSTAL.LACIÓ I RECOLLIDA DE GUARNIMENTS I SIMILARS","22/07/2014","22/07/2030","365","41,5360500174997","2,45004082668781","POINT (2.45004082668781 41.5360500174997)"
"5120700911089709607130","TERRASSES DE BAR","15/04/2014","31/12/2018","365","41,5395945875386","2,43033958417635","POINT (2.43033958417635 41.5395945875386)"
"5120700911221660107130","TERRASSES DE BAR","01/01/2014","15/03/2017","365","41,5401026961134","2,42486692610427","POINT (2.42486692610427 41.5401026961134)"
