CODI_INE,NOMBRE_HABITANTS,NOMBRE_DONES,NOMBRE_HOMES,DONES_00_16,HOMES_00_16,DONES_17_29,HOMES_17_29,DONES_30_49,HOMES_30_49,DONES_50_69,HOMES_50_69,DONES_70,HOMES_70,NOMBRE_VEHICLES,LAT,LNG,WKT
"2-7-05","161","79","82","19","22","12","6","40","40","6","11","2","3","73","41,5445044164117","2,44812714965034","POINT (2.44812714965034 41.5445044164117)"
"1-2-11","359","182","177","23","24","25","21","57","59","52","49","25","24","144","41,5360962357671","2,44770383414957","POINT (2.44770383414957 41.5360962357671)"
"4-9-11","323","167","156","28","21","21","23","45","46","49","47","24","19","154","41,5474449213553","2,43796750200755","POINT (2.43796750200755 41.5474449213553)"
"4-9-10","270","145","125","29","28","15","12","54","47","24","24","23","14","122","41,5482789663759","2,43788453671741","POINT (2.43788453671741 41.5482789663759)"
"2-4-14","113","57","56","21","13","7","8","15","21","9","10","5","4","15","41,5463564163442","2,45099221404934","POINT (2.45099221404934 41.5463564163442)"
"2-4-16","83","46","37","14","9","7","5","12","16","8","5","5","2","14","41,5462693044569","2,45063130361705","POINT (2.45063130361705 41.5462693044569)"
"2-4-13","62","30","32","8","4","4","1","11","16","2","7","5","4","23","41,5464909143601","2,45073442402795","POINT (2.45073442402795 41.5464909143601)"
"2-4-12","33","18","15","5","4","3","0","3","7","2","1","5","3","4","41,5465096944214","2,45042460919107","POINT (2.45042460919107 41.5465096944214)"
"2-4-17","453","210","243","22","39","32","33","75","83","50","67","31","21","182","41,5459626254712","2,45038346817255","POINT (2.45038346817255 41.5459626254712)"
"2-4-06","260","132","128","21","15","16","21","33","34","49","44","13","14","106","41,5458677685586","2,451967127112","POINT (2.451967127112 41.5458677685586)"
"2-4-09","345","159","186","49","51","23","24","51","78","27","30","9","3","35","41,5464639799326","2,45133476771994","POINT (2.45133476771994 41.5464639799326)"
"2-4-11","129","68","61","13","14","11","6","15","22","21","13","8","6","27","41,5467562295135","2,45076923251833","POINT (2.45076923251833 41.5467562295135)"
"2-4-10","111","46","65","10","16","5","7","15","28","9","10","7","4","24","41,546833401003","2,45103100397524","POINT (2.45103100397524 41.546833401003)"
"2-4-08","60","29","31","6","5","4","6","9","8","6","9","4","3","10","41,5469195199187","2,45134521005715","POINT (2.45134521005715 41.5469195199187)"
"2-4-05","342","146","196","34","45","24","37","41","65","29","32","18","17","54","41,5468220194544","2,45194996609502","POINT (2.45194996609502 41.5468220194544)"
